Round 15,Alex Smith,Jamaican Hopscotch Mafia
Round 1,Antonio Brown,FreeBrady
Round 2,LeSean McCoy,FreeBrady
Round 3,Travis Kelce,FreeBrady
Round 4,Rashaad Penny,FreeBrady
Round 5,Pierre Garcon,FreeBrady
Round 6,Emmanuel Sanders,FreeBrady
Round 7,Matthew Stafford,FreeBrady
Round 8,Ronald Jones,FreeBrady
Round 9,DeVante Parker,FreeBrady
Round 10,Kelvin Benjamin,FreeBrady
Round 11,C.J. Anderson,FreeBrady
Round 12,Bilal Powell,FreeBrady
Round 13,Eric Decker,FreeBrady
Round 14,Daniel Carlson,FreeBrady
Round 15,New England Patriots,FreeBrady
Round 1,Melvin Gordon,Free Smizzy
Round 2,Davante Adams,Free Smizzy
Round 3,Alex Collins,Free Smizzy
Round 4,Aaron Rodgers,Free Smizzy
Round 5,Greg Olsen,Free Smizzy
Round 6,Royce Freeman,Free Smizzy
Round 7,Marquise Goodwin,Free Smizzy
Round 8,Devin Funchess,Free Smizzy
Round 9,Will Fuller,Free Smizzy
Round 10,Julian Edelman,Free Smizzy
Round 11,Denver Broncos,Free Smizzy
Round 12,Jimmy Garoppolo,Free Smizzy
Round 13,Devontae Booker,Free Smizzy
Round 14,John Brown,Free Smizzy
Round 15,Harrison Butker,Free Smizzy
Round 1,DeAndre Hopkins,Dalvin and the Chipmunks
Round 2,Dalvin Cook,Dalvin and the Chipmunks
Round 3,Jordan Howard,Dalvin and the Chipmunks
Round 4,Amari Cooper,Dalvin and the Chipmunks
Round 5,Chris Hogan,Dalvin and the Chipmunks
Round 6,Tevin Coleman,Dalvin and the Chipmunks
Round 7,Tarik Cohen,Dalvin and the Chipmunks
Round 8,Trey Burton,Dalvin and the Chipmunks
Round 9,Cooper Kupp,Dalvin and the Chipmunks
Round 10,Drew Brees,Dalvin and the Chipmunks
Round 11,Giovani Bernard,Dalvin and the Chipmunks
Round 12,Rishard Matthews,Dalvin and the Chipmunks
Round 13,Latavius Murray,Dalvin and the Chipmunks
Round 14,Wil Lutz,Dalvin and the Chipmunks
Round 15,T.J. Yeldon,Dalvin and the Chipmunks
Round 1,Alvin Kamara,Ouuu sauce it up
Round 2,Kareem Hunt,Ouuu sauce it up
Round 3,Jerick McKinnon,Ouuu sauce it up
Round 4,Tyreek Hill,Ouuu sauce it up
Round 5,Brandin Cooks,Ouuu sauce it up
Round 6,Deshaun Watson,Ouuu sauce it up
Round 7,Rex Burkhead,Ouuu sauce it up
Round 8,Robby Anderson,Ouuu sauce it up
Round 9,Sammy Watkins,Ouuu sauce it up
Round 10,Minnesota Vikings,Ouuu sauce it up
Round 11,Stephen Gostkowski,Ouuu sauce it up
Round 12,George Kittle,Ouuu sauce it up
Round 13,Peyton Barber,Ouuu sauce it up
Round 14,Mike Williams,Ouuu sauce it up
Round 15,Aaron Jones,Ouuu sauce it up
Round 1,Odell Beckham,FUMBLE
Round 2,Keenan Allen,FUMBLE
Round 3,Kenyan Drake,FUMBLE
Round 4,Jay Ajayi,FUMBLE
Round 5,Kerryon Johnson,FUMBLE
Round 6,Delanie Walker,FUMBLE
Round 7,Andrew Luck,FUMBLE
Round 8,Nick Chubb,FUMBLE
Round 9,D.J. Moore,FUMBLE
Round 10,Cameron Meredith,FUMBLE
Round 11,Nyheim Hines,FUMBLE
Round 12,Los Angeles Chargers,FUMBLE
Round 13,Doug Martin,FUMBLE
Round 14,Austin Seferian-Jenkins,FUMBLE
Round 15,Adam Vinatieri,FUMBLE
Round 1,Julio Jones,Beats by Ray
Round 2,Leonard Fournette,Beats by Ray
Round 3,Derrick Henry,Beats by Ray
Round 4,Demaryius Thomas,Beats by Ray
Round 5,Jimmy Graham,Beats by Ray
Round 6,Carson Wentz,Beats by Ray
Round 7,Chris Thompson,Beats by Ray
Round 8,Ty Montgomery,Beats by Ray
Round 9,Dez Bryant,Beats by Ray
Round 10,Baltimore Ravens,Beats by Ray
Round 11,Justin Tucker,Beats by Ray
Round 12,Matt Ryan,Beats by Ray
Round 13,Cameron Brate,Beats by Ray
Round 14,D.J. Chark,Beats by Ray
Round 15,Michael Crabtree,Beats by Ray
